Wikipedia namein native language,Language,Script (ISO15924 code),WPcode,Activeusers,Launch date,Logo
ܘܝܩܝܦܕܝܐ ܠܫܢܐ ܣܘܪܝܝܐ(Wīqīpedyāʾ leššānā suryāyā),Aramaic (Syriac),Syrc,arc,17,Unknown date,
Wikipedia Thuɔŋjäŋ,Dinka,Latn,din,17,Unknown date,
Gagauzca Vikipediya,Gagauz,Latn,gag,17,Unknown date,
Jumiekan Patwa Wikipidia,Jamaican Patois,Latn,jam,17,Unknown date,
Vikipedeja latgaļu volūdā,Latgalian,Latn,ltg,17,18 March 2011,
विकिपिडियाय् लसकुस(Vikipiḍiyāya lasakūsa),Newar,Deva,new,17,4 June 2006,
Wikipédia iha lia-tetun,Tetum,Latn,tet,17,Unknown date,
Wikipedia long Tok Pisin,Tok Pisin,Latn,tpi,17,Unknown date,
Wikipediya Xitsonga,Tsonga,Latn,ts,17,Unknown date,
Wikipedia nga tshiVenḓa,Venda,Latn,ve,17,Unknown date,
Буряад Википеэди(Buryaad Vikipjeedi),Buryat (Russia Buriat),Cyrl,bxr,16,Unknown date,
Wikipediya kabɩyɛ,Kabiye,Latn,kbp,16,Unknown date,
